city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,zips
Belknap,Belknap,IL,Illinois,17087,Johnson,37.3224,-88.9405,62908
La Tour,La Tour,MO,Missouri,29101,Johnson,38.6348,-94.1017,64747
Itmann,Itmann,WV,West Virginia,54109,Wyoming,37.5734,-81.4146,24847
Pageton,Pageton,WV,West Virginia,54047,McDowell,37.3598,-81.4648,24871
De Smet,De Smet,ID,Idaho,16009,Benewah,47.141,-116.9113,83824
Kittrell,Kittrell,NC,North Carolina,37181,Vance,36.2218,-78.4414,27544
Washington,Washington,NE,Nebraska,31177,Washington,41.3976,-96.2074,68068
Hartly,Hartly,DE,Delaware,10001,Kent,39.1683,-75.7124,19953
Amenia,Amenia,ND,North Dakota,38017,Cass,47.0065,-97.2241,58004
Carpenter,Carpenter,WY,Wyoming,56021,Laramie,41.0456,-104.3644,82054
Ulen,Ulen,IN,Indiana,18011,Boone,40.0661,-86.465,46052
Summit Station,Summit Station,PA,Pennsylvania,42107,Schuylkill,40.562,-76.2013,17979 17972
Reading,Reading,KS,Kansas,20111,Lyon,38.5192,-95.9574,66868
Wimbledon,Wimbledon,ND,North Dakota,38003,Barnes,47.1691,-98.4587,58492
Crisman,Crisman,CO,Colorado,8013,Boulder,40.0416,-105.3675,80302
Williamson,Williamson,IA,Iowa,19117,Lucas,41.0882,-93.2569,50272
Bridgewater,Bridgewater,CT,Connecticut,9005,Litchfield,41.5347,-73.3646,06752
Falls View,Falls View,WV,West Virginia,54019,Fayette,38.1296,-81.2539,25040 25002
Broughton,Broughton,IL,Illinois,17065,Hamilton,37.9345,-88.4624,62817
Parkdale,Parkdale,AR,Arkansas,5003,Ashley,33.1212,-91.5464,71661
Lenhartsville,Lenhartsville,PA,Pennsylvania,42011,Berks,40.5721,-75.8892,19534
Taunton,Taunton,MN,Minnesota,27083,Lyon,44.5942,-96.063,56291
Millersburg,Millersburg,IA,Iowa,19095,Iowa,41.5733,-92.1592,52308
Washta,Washta,IA,Iowa,19035,Cherokee,42.5756,-95.7201,51061
Truesdale,Truesdale,IA,Iowa,19021,Buena Vista,42.7293,-95.1835,50592
Pence,Pence,IN,Indiana,18171,Warren,40.3635,-87.5129,47993
McClelland,McClelland,IA,Iowa,19155,Pottawattamie,41.3316,-95.6814,51548
Tow,Tow,TX,Texas,48299,Llano,30.8889,-98.4631,78672
Pilot Mound,Pilot Mound,IA,Iowa,19015,Boone,42.1593,-94.0183,50223
Faceville,Faceville,GA,Georgia,13087,Decatur,30.7537,-84.6372,39819
Rantoul,Rantoul,KS,Kansas,20059,Franklin,38.5483,-95.1011,66079
Klondike,Klondike,MD,Maryland,24001,Allegany,39.6102,-78.9633,21532
Hooper,Hooper,CO,Colorado,8003,Alamosa,37.746,-105.8777,81136
Anton Chico,Anton Chico,NM,New Mexico,35019,Guadalupe,35.1948,-105.1439,87711
Divide,Divide,CO,Colorado,8119,Teller,38.9449,-105.1619,80814
Bates City,Bates City,MO,Missouri,29107,Lafayette,39.0047,-94.0659,64011
New Haven,New Haven,VT,Vermont,50001,Addison,44.1266,-73.151,05472
Vanceboro,Vanceboro,ME,Maine,23029,Washington,45.5674,-67.4293,04491
Broadview,Broadview,MT,Montana,30111,Yellowstone,46.0988,-108.8789,59015
Artois,Artois,CA,California,6021,Glenn,39.6331,-122.1898,95913
Lorraine,Lorraine,KS,Kansas,20053,Ellsworth,38.569,-98.3174,67459
